# source	target	kind	note
符丁	符牒	pending	文化廳「同音の漢字による書きかえ」
筆跡	筆蹟	pending	文化廳「同音の漢字による書きかえ」
糾弾	糺弾	pending	文化廳「同音の漢字による書きかえ」
糾明	糺明	pending	文化廳「同音の漢字による書きかえ」
終息	終熄	pending	文化廳「同音の漢字による書きかえ」
絶賛	絶讃	pending	文化廳「同音の漢字による書きかえ」
綿花	棉花	pending	文化廳「同音の漢字による書きかえ」
総合	綜合	pending	文化廳「同音の漢字による書きかえ」
総菜	惣菜	pending	文化廳「同音の漢字による書きかえ」
編集	編輯	pending	文化廳「同音の漢字による書きかえ」
練乳	煉乳	pending	文化廳「同音の漢字による書きかえ」
練炭	煉炭	pending	文化廳「同音の漢字による書きかえ」
繁殖	蕃殖	pending	文化廳「同音の漢字による書きかえ」
肝心	肝腎	pending	文化廳「同音の漢字による書きかえ」
背徳	悖徳	pending	文化廳「同音の漢字による書きかえ」
腐乱	腐爛	pending	文化廳「同音の漢字による書きかえ」
腐食	腐蝕	pending	文化廳「同音の漢字による書きかえ」
膨大	厖大	pending	文化廳「同音の漢字による書きかえ」
舗装	鋪装	pending	文化廳「同音の漢字による書きかえ」
船倉	船艙	pending	文化廳「同音の漢字による書きかえ」
色欲	色慾	pending	文化廳「同音の漢字による書きかえ」
英才	頴才	pending	文化廳「同音の漢字による書きかえ」
英知	叡智	pending	文化廳「同音の漢字による書きかえ」
落盤	落磐	pending	文化廳「同音の漢字による書きかえ」
蒸留	蒸溜	pending	文化廳「同音の漢字による書きかえ」
薄幸	薄倖	pending	文化廳「同音の漢字による書きかえ」
薫製	燻製	pending	文化廳「同音の漢字による書きかえ」
蛮族	蕃族	pending	文化廳「同音の漢字による書きかえ」
衣装	衣裳	pending	文化廳「同音の漢字による書きかえ」
衰退	衰頽	pending	文化廳「同音の漢字による書きかえ」
補佐	輔佐	pending	文化廳「同音の漢字による書きかえ」
補導	輔導	pending	文化廳「同音の漢字による書きかえ」
訓戒	訓誡	pending	文化廳「同音の漢字による書きかえ」
記章	徽章	pending	文化廳「同音の漢字による書きかえ」
試練	試煉	pending	文化廳「同音の漢字による書きかえ」
講和	媾和	pending	文化廳「同音の漢字による書きかえ」
象眼	象嵌	pending	文化廳「同音の漢字による書きかえ」
賛仰	讃仰	pending	文化廳「同音の漢字による書きかえ」
賛嘆	讃嘆	pending	文化廳「同音の漢字による書きかえ」
